time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear
2023-10-18,640759.8992600507,0.0,1700.1621764568788,0.0,0.0,0.0
2023-10-19,640288.7616226207,2171.2998138868447,0.0,0.0,0.0,0.0
2023-10-20,639737.1130019939,2722.948434513718,0.0,0.0,0.0,0.0
2023-10-21,640288.7616226207,2171.2998138868447,0.0,0.0,0.0,0.0
2023-10-22,640593.2413946856,1866.8200418219137,0.0,0.0,0.0,0.0
2023-10-23,640716.0787435158,1743.9826929917745,0.0,0.0,0.0,0.0
2023-10-24,640890.1788651709,1569.882571336643,0.0,0.0,0.0,0.0
2023-10-25,641056.836730536,1403.2247059716076,0.0,0.0,0.0,0.0
2023-10-26,641056.836730536,1403.2247059716076,0.0,0.0,0.0,0.0
2023-10-27,641239.4124626815,1220.6489738260775,0.0,0.0,0.0,0.0
2023-10-28,641056.836730536,1403.2247059716076,0.0,0.0,0.0,0.0
2023-10-29,641056.836730536,1403.2247059716076,0.0,0.0,0.0,0.0
2023-10-30,641056.836730536,1403.2247059716076,0.0,0.0,0.0,0.0
2023-10-31,640992.6431337969,1467.4183027106853,0.0,0.0,0.0,0.0
2023-11-01,640858.6160839708,1601.4453525369315,0.0,0.0,0.0,0.0
2023-11-02,640728.0333788784,1732.0280576292785,0.0,0.0,0.0,0.0
2023-11-03,639868.8056203304,2591.255816177167,0.0,0.0,0.0,0.0
2023-11-04,639265.8942268785,3194.1672096290326,0.0,0.0,0.0,0.0
2023-11-05,639020.2195292183,3439.841907289312,0.0,0.0,0.0,0.0
2023-11-06,638456.2343930851,4003.8270434224073,0.0,0.0,0.0,0.0
2023-11-07,638337.1439482034,4122.917488304105,0.0,0.0,0.0,0.0
2023-11-08,639007.883013712,3452.1784227955336,0.0,0.0,0.0,0.0
2023-11-09,638409.0775636674,4050.983872840104,0.0,0.0,0.0,0.0
2023-11-10,639015.2235127595,3444.8379237479453,0.0,0.0,0.0,0.0
2023-11-11,638896.133067878,3563.928368629643,0.0,0.0,0.0,0.0
